0,1,Velocidad E (m/s),Velocidad N (m/s),Velocidad U (m/s),Aceleración X (g),Aceleración Y (g),Aceleración Z (g),Pitch (°),Roll Y (°),Yaw (°),Posición longitud (deg),Posición latitud (deg),Posición altitud (m)
Fecha,16_12_2022,,,,,,,,,,,,
Hora de inicio,18_37_55,,,,,,,,,,,,
Hora de finalización,18_39_39,,,,,,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.8576,-10.228200000000001,-0.0393,-0.04263,-0.0031400000000000004,1.02818,-1.9295,-1.9295,-1.9295,-76.5365083,3.3765636,999.23
,,0.8917,-10.215900000000001,-0.0539,-0.03248,-0.05931,1.03434,-1.8338,-1.8338,-1.8338,-76.5365071,3.3765552,999.21
,,0.9201,-10.212100000000001,-0.0678,0.00018,-0.026920000000000003,1.01752,0.5709000000000001,0.5709000000000001,0.5709000000000001,-76.5365053,3.3765424,999.1800000000001
,,0.9137000000000001,-10.2169,-0.09820000000000001,0.025470000000000003,0.0033200000000000005,1.08075,0.44210000000000005,0.44210000000000005,0.44210000000000005,-76.536504,3.3765331,999.16
,,0.9093,-10.2117,-0.0623,-0.01768,-0.09453,1.06366,1.5358,1.5358,1.5358,-76.5365024,3.3765228,999.13
,,0.9091,-10.2143,-0.0417,0.025980000000000003,-0.04997000000000001,0.9762700000000001,3.0786000000000002,3.0786000000000002,3.0786000000000002,-76.536501,3.3765131999999998,999.1
,,0.912,-10.2048,-0.0405,-0.0005700000000000001,-0.10533000000000001,1.00305,-0.9173,-0.9173,-0.9173,-76.5364994,3.3765017999999998,999.07
,,0.9262,-10.1988,-0.039,0.0018300000000000002,-0.03245,0.9792400000000001,-2.9226,-2.9226,-2.9226,-76.5364981,3.376492,999.0500000000001
,,0.9361,-10.1921,-0.0492,-0.02,0.0345,0.9523300000000001,0.7781,0.7781,0.7781,-76.5364965,3.3764819,999.02
