0,1,Velocidad E (m/s),Velocidad N (m/s),Velocidad U (m/s),Aceleración X (g),Aceleración Y (g),Aceleración Z (g),Posición longitud (deg),Posición latitud (deg),Posición altitud (m)
Fecha,05_12_2022,,,,,,,,,
Hora de inicio,11_58_03,,,,,,,,,
Hora de finalización,11_58_25,,,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,-0.5157,-0.3753,-0.014400000000000001,0.0029100000000000003,-0.00194,-1.00045,108.89185549999999,34.248984199999995,989.84
,,-0.5164,-0.375,-0.0143,-0.00019,0.0037,-0.9970000000000001,108.89185549999999,34.2489841,989.84
,,-0.518,-0.37320000000000003,-0.0146,0.00408,0.00491,-0.99799,108.89185549999999,34.2489841,989.84
,,-0.5176000000000001,-0.3728,-0.014700000000000001,0.0,0.005050000000000001,-0.99926,108.89185549999999,34.248984,989.84
,,-0.5174,-0.3719,-0.014700000000000001,0.0041400000000000005,0.00097,-0.99843,0.0016615,34.248984,989.84
,,-0.5177,-0.3719,-0.0151,0.0,0.0009000000000000001,-0.99953,108.89185549999999,34.2489839,989.84
,,-0.5176000000000001,-0.3735,0.025500000000000002,0.004240000000000001,0.00411,-0.99792,108.8918554,34.2489839,989.84
,,-0.5182,-0.3739,-0.0146,0.0,0.0,-1.00166,108.8918554,34.2489839,989.84
,,-0.5189,-0.37460000000000004,0.025500000000000002,0.00265,0.00088,-0.9974500000000001,108.8918554,34.2489839,989.84
,,-0.5179,-0.3739,-0.0142,0.00255,0.0011200000000000001,-0.9971200000000001,0.0016615,34.2489838,989.84
,,-0.5165000000000001,-0.3729,-0.015600000000000001,0.00353,0.00236,-0.9977800000000001,108.8918554,34.2489837,3.86
,,-0.5165000000000001,-0.3729,-0.015600000000000001,0.0,1e-05,-0.9959600000000001,108.8918554,34.2489837,3.86
,,-0.5187,-0.37420000000000003,-0.015600000000000001,0.0018900000000000002,0.00062,-0.99877,108.8918554,34.248983599999995,989.84
,,-0.517,-0.37360000000000004,-0.0151,0.0,0.0,-1.0010400000000002,108.8918554,34.2489835,989.84
,,-0.517,-0.37360000000000004,-0.0151,0.00438,0.0016500000000000002,-1.0007000000000001,108.8918554,34.2489835,989.84
,,-0.5168,-0.3739,0.025500000000000002,0.0,0.0,-0.9967,108.8918554,34.2489835,989.84
,,-0.5168,-0.3739,0.025500000000000002,0.0014000000000000002,-0.00395,-1.0007300000000001,108.8918554,34.2489835,989.84
,,-0.5168,-0.3739,0.025500000000000002,0.0,0.0,-0.99221,108.8918554,34.2489835,989.84
,,-0.5164,-0.37110000000000004,-0.0152,-0.0049700000000000005,-0.013090000000000001,-0.9980600000000001,108.8918554,34.2489833,3.86
,,-0.5164,-0.37110000000000004,-0.0152,0.00493,-0.006,-1.0021900000000001,108.8918554,34.2489833,3.86
,,-0.514,-0.3703,-0.015700000000000002,0.00427,0.021150000000000002,-0.99504,0.0016615,34.2489833,3.86
,,-0.514,-0.3703,-0.015700000000000002,0.26975000000000005,0.1395,-1.2584700000000002,0.0016615,34.2489833,3.86
,,-0.7841,-0.4359,0.2508,0.7264,0.00521,-0.85028,108.8918545,34.248982999999996,989.86
,,-0.7841,-0.4359,0.2508,0.28237,0.00185,-0.6592800000000001,108.8918545,34.248982999999996,989.86
,,-0.8198000000000001,0.031200000000000002,0.6009,0.038840000000000006,0.49807000000000007,-0.60333,108.891852,34.2489831,990.09
,,-0.7931,-0.09380000000000001,-0.1126,0.0,0.0006100000000000001,-1.17019,108.8918482,34.2489838,990.15
,,-0.7931,-0.09380000000000001,-0.1126,-0.5214000000000001,0.53559,-0.70955,108.8918482,34.2489838,990.15
,,-0.6426000000000001,-0.2436,0.0025,0.00255,0.00216,-0.59762,108.8918466,34.2489834,990.16
,,-0.6426000000000001,-0.2436,0.0025,-0.53456,0.9370900000000001,-0.6094200000000001,108.8918466,34.2489834,990.16
,,-0.6426000000000001,-0.2436,0.0025,-0.27439,0.72436,-0.7630500000000001,108.8918466,34.2489834,990.16
,,-0.6426000000000001,-0.2436,0.0025,1.8883900000000002,-1.61321,-1.5915700000000002,108.8918466,34.2489834,990.16
,,-0.6426000000000001,-0.2436,0.0025,0.0,0.005240000000000001,-0.41757000000000005,108.8918466,34.2489834,990.16
,,-0.6426000000000001,-0.2436,0.0025,1.0281600000000002,0.34435000000000004,-0.6162000000000001,108.8918466,34.2489834,990.16
,,-0.7166,-0.5675,0.1913,0.0,0.00186,-0.257,0.0016615,34.2489834,990.16
,,-0.7166,-0.5675,0.1913,0.7338,0.2621,-0.7518100000000001,0.0016615,34.2489834,990.16
,,-0.36100000000000004,0.014,-0.4712,1e-05,0.00498,-0.09376000000000001,108.8918341,34.2489774,3.86
,,-0.2989,0.0013000000000000002,0.3768,0.06325,0.55025,-0.26708000000000004,108.89183369999999,34.2489773,990.09
,,-0.2989,0.0013000000000000002,0.3768,0.00253,0.6550800000000001,0.8442600000000001,108.89183369999999,34.2489773,990.09
,,1.7874,3.5014000000000003,0.025500000000000002,-0.2646,0.58413,-0.15103000000000003,108.8918356,0.0005225,990.09
,,1.7874,3.5014000000000003,0.025500000000000002,2e-05,0.0059700000000000005,-0.53673,108.8918356,0.0005225,990.09
,,3.9203,6.5331,-3.3262,0.0,0.93564,-0.1353,108.8918542,34.24901,988.5500000000001
,,4.6209,7.9030000000000005,-3.8377000000000003,0.0,0.8902800000000001,-0.17343,108.8918626,34.249022599999996,987.9300000000001
,,5.0492,8.7604,-4.1705000000000005,0.32983,0.9465500000000001,-0.15441000000000002,108.89186939999999,34.2490337,3.85
,,5.5896,10.2224,-4.4721,0.0,0.0036000000000000003,-0.13619,108.891881,34.2490551,986.77
,,5.747,10.874500000000001,0.025500000000000002,0.31913,0.9095700000000001,-0.14645000000000002,108.891881,34.2490551,986.77
,,5.747,10.874500000000001,0.025500000000000002,0.0,0.0037300000000000002,-0.13913,108.891881,34.2490551,986.77
,,5.0589,9.758600000000001,-3.7731000000000003,0.31683,0.9259700000000001,-0.13176000000000002,108.89187899999999,34.249046,986.0
,,5.0589,9.758600000000001,-3.7731000000000003,0.0,0.0036400000000000004,-0.13891,108.89187899999999,34.249046,986.0
,,5.0589,9.758600000000001,-3.7731000000000003,0.31683,0.94313,-0.13618000000000002,108.89187899999999,34.249046,986.0
,,5.0589,9.758600000000001,-3.7731000000000003,0.0,0.95164,-0.13736,108.89187899999999,34.249046,986.0
,,3.1329000000000002,5.8029,-1.8414000000000001,0.31165000000000004,0.93549,-0.15086000000000002,0.0016615,34.2489841,985.22
,,2.8053000000000003,5.1395,-1.5593000000000001,0.29345000000000004,0.0036600000000000005,-0.14501,108.8918375,0.0005225,985.22
,,2.2608,4.075,-1.1265,0.29903,0.9519900000000001,-0.13983,108.8918271,34.2489546,985.57
,,1.8346,3.2692,-0.8246,0.29714,0.94354,-0.14394,108.8918185,34.248940399999995,985.9
,,1.8145,3.2305,-0.8099000000000001,0.29315,0.00371,-0.14136,108.891818,34.2489397,985.91
