0,1,Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V)
Fecha,09_06_2022,,,,
Hora de inicio,14_36_22,,,,
Hora de finalización,14_36_42,,,,
Voltage de salida analoga,0.5,,,,
Observaciones,Prueba de pruebas,,,,
,,0.0,-0.5520310743322977,-5.857564738711253e-05,-0.00043782910114823154
,,0.0,-0.5504763672177143,-5.4437811034746964e-05,-0.0004319870799151804
,,0.0,-0.5646962493632876,-5.970128979907827e-05,-0.0004361374932777355
,,0.0,-0.49958814897942405,-6.67507040103274e-05,-0.00043351518665321186
,,0.0,-0.5111536531244898,-6.049364144102078e-05,-0.0004314777110025033
,,0.0,-0.5112674121816538,-6.263802167834081e-05,-0.0004340685751015532
,,0.0,-0.5513485199893075,-6.049364144102069e-05,-0.00044147643410320423
,,0.0,-0.48946359289177815,-6.318512162158682e-05,-0.00042764801139978165
,,0.0,-0.5288621463564442,-4.793549676674404e-05,-0.0004304841271975282
,,0.0,-0.5385316662154329,-6.482642145132427e-05,-0.0004379674482603165
,,0.0,-0.5388729433869264,-7.519616635261731e-05,-0.00043145884548721856
,,0.0,-0.5379628709296106,-7.332219183437311e-05,-0.00044314917645841564
,,0.0,-0.5011807757797291,-6.899570032916387e-05,-0.0004405771778746504
,,0.0,-0.5304926928424705,-7.99565647093664e-05,-0.00044316175346860545
,,0.0,-0.4879847251486369,-7.474339398579324e-05,-0.0004322637741393505
,,0.0,-0.5447504946737659,-8.332720344016865e-05,-0.00044263980754573844
,,0.0,-0.47418195954600306,-6.132372411353198e-05,-0.00043471629112631525
,,0.0,-0.5149077020109242,-7.046721052134264e-05,-0.0004516449468414642
,,0.0,-0.544978012788094,-8.451573090308235e-05,-0.0004489911976914665
,,0.0,-0.5328816330429244,-7.525905140356523e-05,-0.00044689083698981
,,0.0,-0.502432125408541,-7.97616210514284e-05,-0.000459222595480675
,,0.0,-0.493331400835373,-7.290086199302277e-05,-0.00045464456377167456
,,0.0,-0.5645445706204015,-8.72952501549755e-05,-0.000455499800464565
,,0.0,-0.5637103375345274,-8.437738379099732e-05,-0.00044817998053424033
,,0.0,-0.5140355492393266,-7.560491918377834e-05,-0.00045141227215295744
,,0.0,-0.526700724270316,-8.15035369626824e-05,-0.00046264983075732993
,,0.0,-0.4942793929784112,-8.441511482156576e-05,-0.0004604991620149155
,,0.0,-0.5466464789598401,-9.108721872712786e-05,-0.00046492626960164076
,,0.0,-0.4967441725503102,-8.211352195687622e-05,-0.0004538836546552064
,,0.0,-0.4813866998330918,-8.250969777784736e-05,-0.00045331140069158123
,,0.0,-0.5350809748147748,-9.109350723222266e-05,-0.0004577133542579273
,,0.0,-0.5078546404667168,-8.195630932950663e-05,-0.00045016714814419094
,,0.0,-0.5893061253965575,-9.291717370970927e-05,-0.0004695986288870624
,,0.0,-0.5432337072449026,-7.520874336280697e-05,-0.0004570593497280704
,,0.0,-0.4916629346636272,-8.994899930497276e-05,-0.0004474630909534355
,,0.0,-0.5206714942405929,-7.767383735996129e-05,-0.0004519342180758239
,,0.0,-0.5003465426938541,-8.802471674596978e-05,-0.0004708751954213034
,,0.0,-0.5478219892172072,-0.00010644374816858222,-0.00047787430159179406
,,0.0,-0.5174862406399868,-9.006848090177351e-05,-0.0004614047067485636
,,0.0,-0.5461914427311806,-9.082310151314715e-05,-0.00046492626960164055
,,0.0,-0.5073237648666159,-9.452703101397296e-05,-0.0004612915136568575
,,0.0,-0.5229087556981642,-8.376111029170897e-05,-0.00045917228743991637
,,0.0,-0.5215815666979107,-8.94396303922954e-05,-0.00047080602186526057
,,0.0,-0.5104710987815043,-8.759709839952496e-05,-0.000472629688342747
,,0.0,-0.510622777524389,-8.964715106042322e-05,-0.00046261209972676146
,,0.0,-0.510736536581553,-0.00010711032970862883,-0.00046237942503825455
,,0.0,-0.541299803273106,-0.0001003250327113607,-0.00046708951535424497
,,0.0,-0.5673885470495167,-9.655192965449263e-05,-0.00046795732905732486
,,0.0,-0.5429303497591312,-9.578473203292881e-05,-0.000462398290553539
,,0.0,-0.48612666054828346,-9.599225270105672e-05,-0.00046167511246763903
,,0.0,-0.5162348910111749,-0.00010316743701420122,-0.0004635616639960734
,,0.0,-0.5485803829316396,-0.00011051869947000008,-0.00047161723902248694
,,0.0,-0.531706122785558,-0.0001001363775585171,-0.0004763776373792363
,,0.0,-0.5006499001796272,-9.903588916693091e-05,-0.0004710324080486724
,,0.0,-0.5175999996971506,-0.00010001689596171625,-0.00047477406858006694
,,0.0,-0.48768136766286413,-9.140793248696171e-05,-0.0004771574120109889
,,0.0,-0.49606161820732275,-0.00010305424392249542,-0.00047499416625838424
,,0.0,-0.5098264641242373,-9.845734669821098e-05,-0.00047445335482023337
,,0.0,-0.5166899272398333,-0.00010074007404761614,-0.00046956718636158865
,,0.0,-0.517979196554364,-0.00010372082546254198,-0.0004713908528390751
,,0.0,-0.4922696496351692,-0.00010541872183813272,-0.0004755789972321987
,,0.0,-0.5179412768686443,-0.00010775175722829648,-0.0004747552030647826
