0,1,Cuentas de vueltas,Muestreo (s),Torque de referencia (N-m),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de control difuso (V),Voltaje de excitacion (V)
Fecha,14_07_2022,,,,,,,,,
Hora de inicio,16_49_03,,,,,,,,,
Hora de finalización,16_50_28,,,,,,,,,
Voltage de salida analoga,0.0,,,,,,,,,
Voltaje offset celda 1,-0.01005562513787282,,,,,,,,,
Voltaje offset celda 2,-0.0434787874648382,,,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,,,
,,0,0,0,0,0,0,0,0,0
,,0,0.249969482421875,0.0,0.0,-0.4529848552276752,-0.00010559479998078719,-0.00044023131009443767,{'V': 0.10427720572998332},-0.01579367612482053
,,0,0.4999232292175293,0.0,0.0,-0.45328821271344705,-5.547917514736288e-06,-5.990535389301874e-06,{'V': 0.0},-0.015933280937924593
,,0,0.7498936653137207,0.0,0.0,-0.4563597072568906,-5.522763494357225e-06,-5.084990655653334e-06,{'V': 0.0},-0.013318520519514824
,,0,1.0002293586730957,0.0,0.0,-0.4457421952548637,-5.560494524925775e-06,-5.4245699307716585e-06,{'V': 0.0},-0.015337130654939395
,,0,1.249687671661377,0.0,0.0,-0.4463489102264074,-4.661238296372258e-06,-5.166741221885249e-06,{'V': 0.0},-0.014856060015188681
,,0,1.499582052230835,0.0,0.0,-0.4470693842551161,-4.3656785569174545e-06,-4.688814834681796e-06,{'V': 0.0},-0.013748654267997838
,,0,1.74949049949646,0.0,0.0,-0.4517714252845852,-4.453717628244286e-06,-4.160580406720529e-06,{'V': 0.0},-0.017619858004344763
,,0,1.9994111061096191,0.0,0.0,-0.44509756059759803,-4.573199225045202e-06,-4.3366585493744e-06,{'V': 0.0},-0.015916301974168663
,,0,2.2493736743927,0.0,0.0,-0.44835865356964916,-4.057541807272972e-06,-3.556883917621087e-06,{'V': 0.0},-0.015663504069358583
,,0,2.498987913131714,0.0,0.0,-0.4536294898849419,-3.96950273594595e-06,-3.8084241214129954e-06,{'V': 0.0},-0.01374488116494103
,,0,2.7488760948181152,0.0,0.0,-0.44805529608387706,-3.472710833458282e-06,-3.638634483853695e-06,{'V': 0.0},-0.013690171170616439
,,0,3.001030921936035,0.0,0.0,-0.45309861428483816,-4.1581578887895685e-06,-3.349363249493323e-06,{'V': 0.0},-0.0152390299754608
,,0,3.248692750930786,0.0,0.0,-0.44885160948402847,-3.629923460827817e-06,-2.9154563979535973e-06,{'V': 0.0},-0.012822357467536618
,,0,3.4988088607788086,0.0,0.0,-0.4512405496844832,-3.3720947519415982e-06,-2.934321913237864e-06,{'V': 0.0},-0.018802725812672977
,,0,3.7487103939056396,0.0,0.0,-0.4476002598552167,-3.39724877232106e-06,-2.2740288782861774e-06,{'V': 0.0},-0.013261923973661813
,,0,3.99880313873291,0.0,0.0,-0.4543120442279282,-2.8627258392646507e-06,-2.3180484139494196e-06,{'V': 0.0},-0.01742742974844455
,,0,4.248196125030518,0.0,0.0,-0.452036863084637,-3.397248772320921e-06,-2.5947426381199566e-06,{'V': 0.0},-0.017242547698657906
,,0,4.498107433319092,0.0,0.0,-0.45309861428483866,-3.1708625889089077e-06,-2.2866058884755264e-06,{'V': 0.0},-0.01453345970382645
,,0,4.748068571090698,0.0,0.0,-0.45215062214180024,-3.1960166092877794e-06,-2.0224886744950322e-06,{'V': 0.0},-0.014957933797724195
,,0,4.998061180114746,0.0,0.0,-0.4468797858265077,-2.5420120794307326e-06,-2.0476426948743546e-06,{'V': 0.0},-0.014218405598577984
,,0,5.2479023933410645,0.0,0.0,-0.45017879848428255,-2.422530482630008e-06,-1.5760048127653331e-06,{'V': 0.0},-0.014493842121729366
,,0,5.498111724853516,0.0,0.0,-0.4523023008846862,-2.189855794123025e-06,-1.5131197618180326e-06,{'V': 0.0},-0.01636341468640768
,,0,5.747933387756348,0.0,0.0,-0.4519231040274731,-2.15212476355444e-06,-1.1861174968892663e-06,{'V': 0.0},-0.016493586741869588
,,0,5.99775505065918,0.0,0.0,-0.4510509512558762,-1.9697581158058426e-06,-8.339612115812467e-07,{'V': 0.0},-0.014267455938317228
,,0,6.247656345367432,0.0,0.0,-0.4531744536562817,-2.0892397126066538e-06,-7.836531708232258e-07,{'V': 0.0},-0.015178660326550946
